Congruent,Incongruent,,,,Cmean,Imean,,,,
12.079,19.278,3.889296737,7.496205926,-7.199,14.051125,22.0159166666667,-7.96479166666666,7.94E-01,544.706691,5.79121000000003E-01
16.791,18.741,7.506887617,10.72510101,-1.95,291.3876686,529.2704118,,37.6996,22.69611213,36.1201
9.564,21.214,20.13433564,6.43E-01,-11.65,12.66902907,23.01175704,,12.6736,4.764043674,13.6161
8.63,15.687,29.38865048,40.05522837,-7.057,3.559357958,4.797057122,,1.067089,,8.15409000000003E-01
14.669,22.803,0.381763337,6.19E-01,-8.134,3.559357958,4.797057122,,1.94E-03,,3.02760000000001E-02
12.238,20.878,3.287440397,1.294861926,-8.64,,,,3.03E-01,,4.62400000000001E-01
14.692,24.572,0.410714357,6.533544966,-9.88,,,,3.2041,,3.6864
8.987,17.394,25.64541266,21.36214449,-8.407,,,544.330991,1.00E-01,,1.99808999999998E-01
9.401,20.762,21.62370902,1.572315366,-11.361,,,23.666564826087,10.699441,,11.566801
14.48,26.282,0.183929477,18.19943857,-11.802,,,4.8648293727619,13.778944,,14.760964
22.328,24.524,68.506577,6.290465286,-2.196,,,,34.739236,,33.223696
15.298,18.644,1.554684797,11.36984449,-3.346,,,,22.505536,,21.288996
15.073,17.51,1.044218297,20.30331505,-2.437,,,,31.956409,,30.503529
16.929,20.33,8.282135737,2.842326246,-3.401,,,,21.986721,,20.784481
18.2,35.255,17.21312228,175.2732392,-17.055,,,,80.371225,,82.719025
12.13,22.158,3.690740477,0.020186726,-10.028,,,,3.755844,,4.276624
18.495,25.139,19.74798058,9.753628686,-6.644,,,,2.090916,,1.731856
10.639,20.429,11.64263114,2.518315086,-9.79,,,,2.89,,3.3489
11.344,17.425,7.328552837,21.07654645,-6.081,,,,4.036081,,3.53064099999999
12.369,34.288,2.829561337,150.6039475,-21.919,,,,191.241241,,194.853681
12.944,23.894,1.225736837,3.527184486,-10.95,,,,8.1796,,8.94009999999999
14.233,17.96,0.033076697,16.45048705,-3.727,,,,19.035769,,17.918289
19.71,22.058,32.02280968,1.77E-03,-2.348,,,,32.970564,,31.494544
16.004,21.157,3.813701237,7.38E-01,-5.153,,,,8.625969,,7.87924900000001



recelect,,,,,,,,,,
0,0,2,0,-20,1,,,,,
6,0,6,0,-16,-1,,,,,
10,4,10,0,-12,0,,,,,
14,7,14,0,-8,-10,,,,,
18,9,18,5,-4,-5,,,,,
22,3,22,9,0,7,,,,,
26,1,26,7,4,-7,,,,,
30,0,30,1,,,,,,,
34,0,34,0,,,,,,,

